정산일자,총 매출금액,총 주문건수,파일명
24-01-20,2409900,84,[2024-01] 월간 정산.xlsx
24-01-21,1588700,55,[2024-01] 월간 정산.xlsx
24-01-22,1383600,45,[2024-01] 월간 정산.xlsx
24-01-23,1385700,51,[2024-01] 월간 정산.xlsx
24-01-24,1517900,43,[2024-01] 월간 정산.xlsx
24-01-25,0,0,[2024-01] 월간 정산.xlsx
24-01-26,1367300,48,[2024-01] 월간 정산.xlsx
24-01-27,1667900,49,[2024-01] 월간 정산.xlsx
24-01-28,1721900,59,[2024-01] 월간 정산.xlsx
24-01-29,1521400,54,[2024-01] 월간 정산.xlsx
24-01-30,1842700,64,[2024-01] 월간 정산.xlsx
24-01-31,2047200,61,[2024-01] 월간 정산.xlsx
합계,42862900,1378,[2024-01] 월간 정산.xlsx
24-02-01,0,0,[2024-02] 월간 정산.xlsx
24-02-02,1513400,48,[2024-02] 월간 정산.xlsx
24-02-03,1729600,60,[2024-02] 월간 정산.xlsx
24-02-04,1845400,63,[2024-02] 월간 정산.xlsx
24-02-05,1132300,34,[2024-02] 월간 정산.xlsx
24-02-06,1244500,44,[2024-02] 월간 정산.xlsx
24-02-07,1137500,33,[2024-02] 월간 정산.xlsx
24-02-08,1441000,49,[2024-02] 월간 정산.xlsx
24-02-09,1118400,38,[2024-02] 월간 정산.xlsx
24-02-10,1931700,62,[2024-02] 월간 정산.xlsx
24-02-11,2159400,69,[2024-02] 월간 정산.xlsx
24-02-12,1210600,41,[2024-02] 월간 정산.xlsx
24-02-13,861700,29,[2024-02] 월간 정산.xlsx
24-02-14,1023400,36,[2024-02] 월간 정산.xlsx
24-02-15,435600,14,[2024-02] 월간 정산.xlsx
24-02-16,0,0,[2024-02] 월간 정산.xlsx
24-02-17,1385400,46,[2024-02] 월간 정산.xlsx
24-02-18,1610700,59,[2024-02] 월간 정산.xlsx
24-02-19,1351800,41,[2024-02] 월간 정산.xlsx
24-02-20,1288900,45,[2024-02] 월간 정산.xlsx
24-02-21,1266100,40,[2024-02] 월간 정산.xlsx
24-02-22,0,0,[2024-02] 월간 정산.xlsx
24-02-23,1329800,48,[2024-02] 월간 정산.xlsx
24-02-24,1757100,58,[2024-02] 월간 정산.xlsx
24-02-25,2110900,74,[2024-02] 월간 정산.xlsx
24-02-26,610600,22,[2024-02] 월간 정산.xlsx
24-02-27,1239900,43,[2024-02] 월간 정산.xlsx
24-02-28,961003,29,[2024-02] 월간 정산.xlsx
24-02-29,0,0,[2024-02] 월간 정산.xlsx
합계,33696703,1125,[2024-02] 월간 정산.xlsx
24-03-01,2061000,66,[2024-03] 월간 정산.xlsx
24-03-02,1329000,48,[2024-03] 월간 정산.xlsx
24-03-03,1907200,67,[2024-03] 월간 정산.xlsx
24-03-04,1189300,35,[2024-03] 월간 정산.xlsx
24-03-05,1495900,52,[2024-03] 월간 정산.xlsx
24-03-06,1105600,28,[2024-03] 월간 정산.xlsx
24-03-07,0,0,[2024-03] 월간 정산.xlsx
24-03-08,1745400,56,[2024-03] 월간 정산.xlsx
24-03-09,1329700,49,[2024-03] 월간 정산.xlsx
24-03-10,2000000,68,[2024-03] 월간 정산.xlsx
24-03-11,1130500,37,[2024-03] 월간 정산.xlsx
24-03-12,1396900,43,[2024-03] 월간 정산.xlsx
24-03-13,976400,34,[2024-03] 월간 정산.xlsx
24-03-14,403500,1,[2024-03] 월간 정산.xlsx
24-03-15,1637200,58,[2024-03] 월간 정산.xlsx
24-03-16,1711200,59,[2024-03] 월간 정산.xlsx
24-03-17,1787700,62,[2024-03] 월간 정산.xlsx
24-03-18,1000000,33,[2024-03] 월간 정산.xlsx
24-03-19,1170300,42,[2024-03] 월간 정산.xlsx
24-03-20,900600,33,[2024-03] 월간 정산.xlsx
24-03-21,921300,32,[2024-03] 월간 정산.xlsx
24-03-22,1292200,46,[2024-03] 월간 정산.xlsx
24-03-23,1259100,41,[2024-03] 월간 정산.xlsx
24-03-24,1489600,52,[2024-03] 월간 정산.xlsx
24-03-25,1114600,34,[2024-03] 월간 정산.xlsx
24-03-26,1489800,51,[2024-03] 월간 정산.xlsx
24-03-27,988300,29,[2024-03] 월간 정산.xlsx
24-03-28,0,0,[2024-03] 월간 정산.xlsx
24-03-29,981200,35,[2024-03] 월간 정산.xlsx
24-03-30,1477800,49,[2024-03] 월간 정산.xlsx
24-03-31,1831200,56,[2024-03] 월간 정산.xlsx
합계,39122500,1296,[2024-03] 월간 정산.xlsx
24-04-01,1293200,37,[2024-04] 월간 정산.xlsx
